CellID,CenterLatitude,CenterLongitude,CenterX_m,CenterY_m
Cell_318,36.7581524615598,129.415936464999,1171020.00903184,1863940.50881217
Cell_319,36.8862511676832,126.473401192272,908520.009031845,1876930.88986894
Cell_320,36.8875861455093,126.641714044227,923520.009031845,1876930.88986894
Cell_321,36.8886827462986,126.810036993182,938520.009031845,1876930.88986894
Cell_322,36.889540929657,126.978368059731,953520.009031845,1876930.88986894
Cell_323,36.8901606639696,127.14670526387,968520.009031845,1876930.88986894
Cell_324,36.8905419264043,127.315046625146,983520.009031845,1876930.88986894
Cell_325,36.8906847029143,127.483390162797,998520.009031845,1876930.88986894
Cell_326,36.8905889882388,127.6517338959,1013520.00903184,1876930.88986894
Cell_327,36.8902547859046,127.82007584352,1028520.00903184,1876930.88986894
Cell_328,36.8896821082248,127.988414024852,1043520.00903184,1876930.88986894
Cell_329,36.8888709762982,128.15674645937,1058520.00903184,1876930.88986894
Cell_330,36.8878214200065,128.325071166969,1073520.00903184,1876930.88986894
Cell_331,36.8865334780118,128.493386168114,1088520.00903184,1876930.88986894
Cell_332,36.8850071977523,128.661689483987,1103520.00903184,1876930.88986894
Cell_333,36.8832426354372,128.829979136628,1118520.00903184,1876930.88986894
Cell_334,36.8812398560413,128.998253149084,1133520.00903184,1876930.88986894
Cell_335,36.8789989332977,129.166509545551,1148520.00903184,1876930.88986894
Cell_336,36.8765199496909,129.334746351524,1163520.00903184,1876930.88986894
Cell_337,37.0062369804281,126.893273699827,946020.009031845,1889921.2709257
Cell_338,37.0069790736459,127.061865906058,961020.009031845,1889921.2709257
Cell_339,37.0074816949777,127.230463290776,976020.009031845,1889921.2709257
Cell_340,37.0077448258661,127.399063861396,991020.009031845,1889921.2709257
Cell_341,37.0077684565955,127.567665625101,1006020.00903184,1889921.2709257
Cell_342,37.0075525862935,127.736266588983,1021020.00903184,1889921.2709257
Cell_343,37.0070972229306,127.904864760196,1036020.00903184,1889921.2709257
Cell_344,37.0064023833195,128.073458146097,1051020.00903184,1889921.2709257
Cell_345,37.0054680931133,128.242044754402,1066020.00903184,1889921.2709257
Cell_346,37.004294386803,128.410622593324,1081020.00903184,1889921.2709257
Cell_347,37.0028813077138,128.579189671728,1096020.00903184,1889921.2709257
Cell_348,37.0012289080004,128.747743999273,1111020.00903184,1889921.2709257
Cell_349,36.9993372486419,128.916283586564,1126020.00903184,1889921.2709257
Cell_350,36.9972063994352,129.084806445295,1141020.00903184,1889921.2709257
Cell_351,36.994836438988,129.253310588394,1156020.00903184,1889921.2709257
Cell_352,36.9922274547103,129.421794030177,1171020.00903184,1889921.2709257
Cell_353,37.1237326587634,126.976765371455,953520.009031845,1902911.65198247
Cell_354,37.1243576526869,127.145619750692,968520.009031845,1902911.65198247
Cell_355,37.1247421508927,127.314478337491,983520.009031845,1902911.65198247
Cell_356,37.1248861391539,127.483339127065,998520.009031845,1902911.65198247
Cell_357,37.1247896121428,127.652200114463,1013520.00903184,1902911.65198247
Cell_358,37.124452573431,127.821059294719,1028520.00903184,1902911.65198247
Cell_359,37.1238750354894,127.989914663002,1043520.00903184,1902911.65198247
Cell_360,37.1230570196867,128.158764214763,1058520.00903184,1902911.65198247
Cell_361,37.1219985562874,128.327605945888,1073520.00903184,1902911.65198247
Cell_362,37.1206996844483,128.496437852842,1088520.00903184,1902911.65198247
Cell_363,37.1191604522147,128.665257932824,1103520.00903184,1902911.65198247
Cell_364,37.1173809165152,128.834064183908,1118520.00903184,1902911.65198247
Cell_365,37.115361143156,129.002854605198,1133520.00903184,1902911.65198247
Cell_366,37.1131012068137,129.171627196975,1148520.00903184,1902911.65198247
Cell_367,37.1106011910276,129.340379960843,1163520.00903184,1902911.65198247
Cell_368,37.2404206466356,126.891401661706,946020.009031845,1915902.03303924
Cell_369,37.2411690302907,127.060514006192,961020.009031845,1915902.03303924
Cell_370,37.2416759122189,127.229631592179,976020.009031845,1915902.03303924
Cell_371,37.241941273625,127.398752402838,991020.009031845,1915902.03303924
Cell_372,37.241965104669,127.567874421102,1006020.00903184,1915902.03303924
Cell_373,37.2417474044673,127.736995629809,1021020.00903184,1915902.03303924
Cell_374,37.2412881810925,127.906114011862,1036020.00903184,1915902.03303924
Cell_375,37.2405874515727,128.075227550373,1051020.00903184,1915902.03303924
Cell_376,37.2396452418898,128.244334228817,1066020.00903184,1915902.03303924
Cell_377,37.2384615869768,128.41343203118,1081020.00903184,1915902.03303924
